table[0]:  2 0
table[10764]: bames 1 0
table[10766]: amendment 1 0
table[10776]: forgive 1 0
table[10784]: hedge 2 0
table[10811]: wherefore 4 0
table[10816]: sea's 1 0
table[10817]: compounded 1 0
table[10861]: found 44 0
table[10871]: days 21 0
table[10877]: consecrate 1 0
table[10935]: corner 4 0
table[10967]: conceit 3 0
table[10969]: immortal 2 0
table[10988]: join 11 0
table[10989]: rolling 1 0
table[11042]: before 57 0
table[11103]: declare 2 0
table[11104]: lad 1 0
table[11116]: lap 3 0
table[11123]: law 8 0
table[11125]: lay 6 0
table[11126]: vinegar 1 1
table[11132]: grow'st 3 0
table[11133]: people 18 0
table[11155]: paper 5 0
table[11162]: placed 2 0
table[11177]: places 2 0
table[11179]: flock 1 0
table[11207]: sooner 4 0
table[11221]: bear'st 2 0
table[11228]: led 4 0
table[11244]: let 45 0
table[11246]: concert 2 0
table[11272]: jurymen 4 0
table[11287]: fortunately 1 0
table[11313]: record 3 0
table[11314]: library 2 0
table[11339]: wrinkles 5 0
table[11353]: lie 15 0
table[11364]: lip 1 0
table[11365]: opening 3 0
table[11368]: lit 1 0
table[11369]: naming 1 0
table[11379]: teacup 3 0
table[11389]: substantial 1 0
table[11397]: forgetful 1 0
table[11413]: learned 2 0
table[11415]: we're 2 0
table[11451]: closely 1 0
table[11461]: extant 1 0
table[11489]: joys 1 0
table[11515]: contemptuously 2 0
table[11539]: we've 2 0
table[11540]: careful 2 1
table[11548]: cruel 9 0
table[11553]: gift 5 0
table[11557]: low 17 0
table[11558]: floor 3 0
table[11581]: pretexts 1 0
table[11589]: traitress 1 0
table[11597]: hadn't 8 0
table[11671]: tear 1 0
table[11700]: usually 2 0
table[11729]: important 7 0
table[11732]: completely 1 0
table[11746]: noise 3 0
table[11772]: emphasis 1 0
table[11799]: caused 2 0
table[11802]: flown 2 0
table[11804]: congress 2 0
table[11827]: remedy 2 0
table[11841]: graced 1 0
table[11856]: graces 5 0
table[11882]: steely 1 0
table[11894]: changed 8 0
table[11907]: standing 1 0
table[11909]: changes 3 0
table[11910]: faster 4 1
table[11911]: banks 2 0
table[11914]: heels 1 0
table[11917]: girl 4 0
table[11943]: dreadful 2 0
table[11963]: particular 5 0
table[11967]: caterpillar 27 0
table[11974]: trampled 1 0
table[11978]: secondly 2 0
table[11984]: sonnets 1 0
table[11990]: crust 1 0
table[12006]: tell 48 0
table[12007]: steepy 1 1
