table[0]:  3 0
table[6245]: 'after 1 0
table[6249]: unrest 1 0
table[6257]: ay 5 1
table[6260]: rosetree 1 0
table[6275]: shade 9 0
table[6279]: treason 1 0
table[6295]: shady 1 0
table[6320]: gay 5 0
table[6332]: crowd 7 0
table[6342]: crown 7 0
table[6344]: returning 1 0
table[6346]: oath 1 1
table[6381]: folly 7 1
table[6423]: i'd 21 0
table[6432]: i'm 117 0
table[6439]: get 99 0
table[6451]: exact 1 0
table[6463]: cured 1 1
table[6492]: shake 7 0
table[6512]: detain 1 0
table[6513]: blacking 1 0
table[6527]: haste 9 1
table[6530]: shall 219 0
table[6538]: shalt 21 0
table[6548]: drowns 1 0
table[6554]: shame 19 0
table[6635]: throwing 3 0
table[6643]: couple 1 0
table[6647]: shape 13 0
table[6658]: coils 1 0
table[6666]: mended 1 0
table[6699]: edwin 3 0
table[6709]: share 5 0
table[6715]: shark 1 0
table[6716]: feared 1 0
table[6720]: sharp 13 0
table[6733]: god 9 0
table[6735]: shutting 3 0
table[6749]: got 97 0
table[6751]: disperse 1 0
table[6757]: often 13 0
table[6808]: winds 3 0
table[6814]: windy 1 0
table[6833]: jurors 7 0
table[6846]: doubling 1 0
table[6870]: madam 23 0
table[6872]: tucked 5 0
table[6901]: wings 1 0
table[6919]: lo 5 1
table[6920]: treated 1 0
table[6927]: curls 5 1
table[6961]: o' 1 1
table[6988]: disagree 1 0
table[7012]: sickle's 1 0
table[7018]: run'st 1 0
table[7059]: perforce 1 0
table[7102]: dressed 3 0
table[7135]: patient 1 0
table[7145]: cucumber 3 0
table[7206]: spirits 5 0
table[7233]: interesting 9 0
table[7260]: had 399 0
table[7271]: t' 1 1
table[7272]: hap 1 0
table[7275]: has 13 0
table[7276]: hat 1 0
table[7317]: jumping 7 0
table[7386]: reckon 1 0
table[7398]: her 629 0
table[7430]: mistress 11 0
table[7435]: snout 1 0
table[7482]: disappointment 1 0
table[7494]: antique 9 0
table[7508]: hid 5 0
table[7516]: misprision 1 0
table[7517]: him 211 0
table[7523]: his 485 0
table[7524]: hit 3 0
table[7559]: nurse 7 0
table[7575]: prevent'st 1 0
table[7582]: tight 1 0
table[7592]: imaginary 1 0
table[7602]: bitter 5 0
table[7638]: force 3 0
table[7651]: chimneys 1 0
table[7683]: tortoise 5 0
table[7700]: person 11 0
table[7705]: liv'd 1 0
table[7710]: hot 19 0
table[7713]: how 229 0
table[7759]: vision 1 0
table[7785]: fountain 1 0
table[7790]: steady 1 0
table[7800]: skill 17 0
table[7822]: heads 19 0
table[7825]: oblation 1 0
table[7827]: o'ercharged 1 0
table[7837]: straightening 1 0
table[7881]: hue 9 0
table[7887]: i'll 75 0
table[7892]: compounds 3 0
table[7900]: robbed 1 0
table[7913]: insult 1 0
table[7925]: gems 1 0
table[7944]: pigeon 23 0
table[7965]: elegant 1 0
table[7994]: skirt 1 0
table[7996]: o'erpressed 1 0
table[8005]: devouring 1 0
